Rank;Name;Vocation;World;Level;Points
1;Dejairzin;Elder Druid;Inabra;2751;346,576,127,232
2;Goraca;Master Sorcerer;Bona;2734;340,067,312,446
3;Bobeek;Elder Druid;Bona;2729;338,313,060,009
4;Veyllor;Royal Paladin;Gentebra;2639;305,765,395,822
5;Vepeh;Royal Paladin;Celebra;2628;301,873,537,774
6;Wedzy;Master Sorcerer;Belobra;2594;290,276,579,946
7;Mago Endividado;Master Sorcerer;Celebra;2579;285,374,961,907
8;Kommander;Royal Paladin;Celebra;2537;271,654,015,429
9;Ke vinho;Elder Druid;Gentebra;2506;261,719,398,003
10;Galll;Elite Knight;Gentebra;2472;251,410,416,994
11;Warlord Leonny;Royal Paladin;Belobra;2460;247,627,748,886
12;Warlord Wesa;Elder Druid;Belobra;2452;245,262,739,622
13;Great Gems;Elder Druid;Nefera;2409;232,650,011,571
14;Baaeck;Master Sorcerer;Gentebra;2386;225,918,808,162
15;Drakcule Val Denoya;Elder Druid;Gentebra;2382;224,892,773,756
16;Maqiczny;Elite Knight;Refugia;2380;224,193,946,638
17;Izzy The Beast;Elder Druid;Celebra;2378;223,821,561,752
18;Tejow Corporation;Elite Knight;Issobra;2363;219,572,090,277
19;Ferangel;Royal Paladin;Bona;2358;217,964,640,225
20;Teus;Master Sorcerer;Descubra;2340;213,060,442,242
21;Khaos Poderoso;Master Sorcerer;Rasteibra;2339;212,835,766,365
22;Talin;Elder Druid;Issobra;2316;206,586,067,495
23;Elder Reno;Elder Druid;Celesta;2297;201,486,296,370
24;Sephan;Elite Knight;Oceanis;2294;200,924,329,014
25;Marcao Implacavel;Elder Druid;Kalibra;2277;196,462,526,935
26;Marculino the Titan;Elite Knight;Kalibra;2273;195,461,622,962
27;King Kako;Elite Knight;Refugia;2246;188,558,137,461
28;King Danter;Elite Knight;Celesta;2232;184,863,013,693
29;Joseh Implacavel;Royal Paladin;Kalibra;2228;184,068,078,019
30;Ki Naitao Olim;Elite Knight;Belobra;2228;183,889,156,206
31;Rayo Legacy;Royal Paladin;Gentebra;2224;182,877,833,243
32;Poke Corporation;Royal Paladin;Issobra;2220;181,919,217,967
33;Caook;Royal Paladin;Belobra;2212;180,035,300,110
34;Boleight;Royal Paladin;Descubra;2210;179,519,104,738
35;Fury Gutierrezs;Elder Druid;Gentebra;2206;178,533,191,367
36;Guii;Elite Knight;Celebra;2195;175,805,817,493
37;Smoothyz;Royal Paladin;Kalibra;2186;173,652,877,652
38;Digao Implacavel;Elite Knight;Kalibra;2185;173,536,300,664
39;Medicaux;Elder Druid;Celesta;2184;173,376,518,337
40;Megazao Pixelado;Elder Druid;Havera;2178;171,874,734,317
41;Hero Reis;Royal Paladin;Astera;2166;169,116,874,568
42;Edinho Rancaprofit;Royal Paladin;Serdebra;2162;168,085,772,652
43;Bruneli Wayne;Elite Knight;Serdebra;2152;165,865,745,396
44;Rift Duken;Master Sorcerer;Gentebra;2147;164,687,300,760
45;Caffeina Implacavel;Master Sorcerer;Kalibra;2131;160,956,901,522
46;Tajojo Paytowin;Elder Druid;Kalibra;2126;159,713,249,376
47;Mor Decai;Master Sorcerer;Gentebra;2121;158,603,858,071
48;Alchemist Donodeserdebra;Elite Knight;Lutabra;2116;157,479,762,339
49;Klauzz Corporation;Elder Druid;Issobra;2114;157,196,857,395
50;Lyh;Elite Knight;Inabra;2111;156,482,250,010
